Player,IsTop10In3P,No,Team,Games,Min,Pts,Reb,Ast,Stl,Blk,To,Pf,Dreb,Oreb,Fgm-a,Pct,3gm-a,3Pct,Ftm-a,FtPct,Eff,Deff,Year
Paul Pierce*,1,17,Boston,98,48.29999924,95.5,42.40000153,20.60000038,9.5,3.799999952,13.30000019,21.89999962,31.60000038,10.80000019,34.5-81.5,0.423000008,8.4-23.6,0.356999993,18.2-23.7,0.765999973,106,0,2001
Reggie Miller*,1,12,Indiana,87,48.59999847,96.5,42.59999847,22.89999962,8,5.199999809,14.69999981,23,31.5,11.19999981,35.7-80.0,0.446999997,4.9-14.4,0.342000008,20.1-26.1,0.771000028,110.4000015,2.799999952,2001
Jason Terry,1,24,Atlanta,82,48.20000076,94,41.5,20.20000076,8.100000381,4.300000191,14.69999981,20.70000076,29.79999924,11.60000038,35.4-80.6,0.43900001,5.2-14.6,0.354000002,18.1-23.7,0.764999986,102.5999985,-11.60000038,2001
Pat Garrity,1,21,Orlando,86,48.5,100.1999969,41.20000076,21.89999962,8,4.599999905,13.19999981,21,29.79999924,11.39999962,37.4-83.8,0.446999997,7.4-20.1,0.368999988,17.9-23.7,0.754000008,110.5,-3.200000048,2001
Steve Nash*,1,9,Dallas,90,48.5,105.5999985,42.5,21.89999962,7,4.800000191,11.69999981,22.70000076,31.29999924,11.19999981,39.1-84.8,0.460999995,7.6-20.2,0.377999991,19.7-24.4,0.809000015,119.5999985,4.900000095,2001
Dirk Nowitzki,1,9,Dallas,90,48.5,105.5999985,42.5,21.89999962,7,4.800000191,11.69999981,22.70000076,31.29999924,11.19999981,39.1-84.8,0.460999995,7.6-20.2,0.377999991,19.7-24.4,0.809000015,119.5999985,4.900000095,2001
Latrell Sprewell,1,23,New York,82,48.29999924,91.59999847,40.70000076,21,6.800000191,3.5,14.10000038,22,30,10.69999981,34.4-79.5,0.432000011,5.8-16.4,0.352999985,17.1-21.8,0.787,99.69999695,-9.600000381,2001
Allan Houston,1,23,New York,82,48.29999924,91.59999847,40.70000076,21,6.800000191,3.5,14.10000038,22,30,10.69999981,34.4-79.5,0.432000011,5.8-16.4,0.352999985,17.1-21.8,0.787,99.69999695,-9.600000381,2001
Eric Piatkowski,1,19,L.A.Clippers,82,48.29999924,95.69999695,43.40000153,20.89999962,6.199999809,6.599999905,14,19.79999924,30.20000076,13.19999981,36.2-81.3,0.444999993,5.0-14.0,0.356000006,18.3-24.7,0.739000022,107.1999969,-2.400000095,2001
Quentin Richardson,1,19,L.A.Clippers,82,48.29999924,95.69999695,43.40000153,20.89999962,6.199999809,6.599999905,14,19.79999924,30.20000076,13.19999981,36.2-81.3,0.444999993,5.0-14.0,0.356000006,18.3-24.7,0.739000022,107.1999969,-2.400000095,2001
